"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2024","1.8519","2.0429","2.0539","1.6592","53.04M","-9.36%"
"06/06/2024","2.0431","2.1557","2.1690","2.0213","15.38M","-5.24%"
"05/06/2024","2.1561","2.1239","2.2200","2.1237","18.34M","1.52%"
"04/06/2024","2.1238","2.1388","2.1740","2.0798","13.50M","-0.72%"
"03/06/2024","2.1392","2.0850","2.1941","2.0488","17.16M","2.60%"
"02/06/2024","2.0850","2.1110","2.1380","2.0468","9.91M","-1.23%"
"01/06/2024","2.1109","2.1389","2.1460","2.0939","8.24M","-1.31%"
"31/05/2024","2.1390","2.1850","2.2090","2.0928","16.87M","-2.11%"
"30/05/2024","2.1850","2.1940","2.2921","2.1120","24.52M","-0.45%"
"29/05/2024","2.1950","2.2361","2.3421","2.1860","23.86M","-1.84%"
"28/05/2024","2.2361","2.3031","2.3051","2.1810","16.72M","-2.91%"
"27/05/2024","2.3030","2.2351","2.3341","2.2211","15.85M","3.04%"
"26/05/2024","2.2351","2.2952","2.3061","2.2030","11.55M","-2.66%"
"25/05/2024","2.2961","2.3101","2.3621","2.2820","9.50M","-0.56%"
"24/05/2024","2.3091","2.3630","2.4090","2.2540","14.82M","-2.28%"
"23/05/2024","2.3630","2.5386","2.5584","2.2700","34.81M","-6.92%"
"22/05/2024","2.5386","2.5290","2.6928","2.4782","47.27M","0.38%"
"21/05/2024","2.5290","2.4241","2.5643","2.3768","38.60M","4.31%"
"20/05/2024","2.4245","2.2002","2.4366","2.1647","34.45M","10.19%"
"19/05/2024","2.2002","2.2774","2.3101","2.1843","13.66M","-3.43%"
"18/05/2024","2.2784","2.3467","2.4242","2.2633","16.88M","-2.90%"
"17/05/2024","2.3464","2.2812","2.3841","2.2244","25.04M","2.86%"
"16/05/2024","2.2812","2.2549","2.3372","2.1633","31.69M","1.17%"
"15/05/2024","2.2549","2.0020","2.2740","1.9749","35.33M","12.63%"
"14/05/2024","2.0020","2.1234","2.1375","1.9840","23.15M","-5.66%"
"13/05/2024","2.1222","2.1673","2.2209","2.0222","26.28M","-2.08%"
"12/05/2024","2.1673","2.1916","2.2396","2.1540","11.32M","-1.10%"
"11/05/2024","2.1915","2.2084","2.2619","2.1824","14.19M","-0.76%"
"10/05/2024","2.2084","2.2618","2.3612","2.1389","30.48M","-2.37%"
"09/05/2024","2.2619","2.1540","2.3028","2.1291","27.82M","5.01%"
"08/05/2024","2.1540","2.3359","2.4078","2.1257","28.98M","-7.79%"
"07/05/2024","2.3359","2.3802","2.4974","2.3359","29.28M","-1.86%"
"06/05/2024","2.3802","2.3574","2.5222","2.3185","42.19M","0.97%"
"05/05/2024","2.3574","2.1590","2.3781","2.1050","37.07M","9.19%"
"04/05/2024","2.1590","2.1702","2.2436","2.1368","21.25M","-0.51%"
"03/05/2024","2.1702","2.0019","2.2127","1.9569","31.39M","8.41%"
"02/05/2024","2.0019","2.0152","2.0549","1.9308","23.66M","-0.66%"
"01/05/2024","2.0152","2.0226","2.0568","1.8658","42.00M","-0.33%"
"30/04/2024","2.0218","2.1672","2.1986","1.9230","32.63M","-6.71%"
"29/04/2024","2.1672","2.1600","2.1980","2.0889","22.93M","0.33%"
"28/04/2024","2.1600","2.1861","2.2844","2.1426","18.89M","-1.19%"
"27/04/2024","2.1861","2.1584","2.1978","2.0686","20.40M","1.36%"
"26/04/2024","2.1568","2.2976","2.3074","2.1359","23.24M","-6.17%"
"25/04/2024","2.2987","2.2716","2.3786","2.2066","31.13M","1.19%"
"24/04/2024","2.2716","2.4501","2.6346","2.2274","44.97M","-7.29%"
"23/04/2024","2.4501","2.4694","2.5574","2.3923","25.77M","-0.60%"
"22/04/2024","2.4649","2.4202","2.5245","2.3770","28.41M","1.85%"
"21/04/2024","2.4202","2.4911","2.5634","2.3650","34.84M","-2.85%"
"20/04/2024","2.4911","2.1054","2.4995","2.0732","40.02M","18.32%"
"19/04/2024","2.1054","2.0463","2.1847","1.8631","41.51M","2.89%"
"18/04/2024","2.0462","1.9879","2.0907","1.8857","30.16M","2.94%"
"17/04/2024","1.9878","2.1116","2.1367","1.8799","36.98M","-5.86%"
"16/04/2024","2.1116","2.0503","2.1233","1.9322","46.15M","2.99%"
